square_footage,bedrooms,bathrooms,year_built,lot_size,distance_to_city_center,school_rating,price
992,1,3,2017,40874,1.5,3,441371
2562,3,2,1974,10689,19.4,4,450000
4384,3,4,1969,45814,6.9,6,450000
564,6,1,1983,20555,20.1,7,309520
3068,2,2,1975,34919,14.1,9,450000
2527,6,3,1954,8619,23.2,1,450000
3195,6,2,2010,7033,3.8,8,450000
1995,5,2,1958,42328,18.8,8,450000
891,1,2,1999,5946,8.4,6,315737
4974,2,3,1955,25618,25.6,4,450000
4061,4,4,2009,35675,27.9,3,450000
2778,4,2,1993,37258,29.9,3,450000
3599,3,2,1960,19919,23.9,6,450000
700,3,1,2015,5173,22.6,8,250438
3604,4,3,1996,44833,6.5,7,450000
2954,3,2,2022,27400,10.1,1,450000
4145,1,3,1952,5769,14.0,6,450000
1304,6,2,1979,38564,23.2,7,450000
3231,3,4,1970,46814,27.5,7,450000
3273,5,4,1977,15211,5.8,9,450000
2070,3,2,2011,24255,27.7,10,450000
3190,2,4,1982,28962,20.9,5,450000
4340,1,2,1984,20356,18.4,1,450000
1528,2,4,2001,21306,6.1,2,450000
1002,2,1,1983,5997,1.8,4,363062
4993,5,1,1990,18376,17.1,5,450000
1370,1,1,2000,41880,19.6,9,438746
4988,1,3,1996,39055,6.4,1,450000
706,1,3,2007,11578,16.7,3,244524
1984,1,1,2006,19624,25.7,5,340034
1363,1,3,1972,40194,25.1,3,371939
3290,5,4,1997,45367,27.8,4,450000
1063,3,2,1971,1389,11.0,3,352831
4691,2,2,1966,34767,9.6,4,450000
2257,1,2,2018,46580,22.5,1,450000
2178,3,1,1960,49367,13.0,8,450000
3742,3,3,1964,2855,2.7,4,450000
1559,2,4,1984,41893,8.6,7,450000
2222,5,4,1982,14794,12.6,2,450000
3814,4,1,1965,36531,8.8,2,450000
3657,4,4,1983,5986,10.0,6,450000
3125,3,4,2015,33298,8.9,2,450000
3229,6,4,1989,2481,1.3,6,450000
2097,6,4,1977,4731,19.1,2,450000
3560,2,3,1996,17835,18.0,4,450000
3193,4,4,1988,28798,19.6,7,450000
4127,3,2,2019,27113,5.9,8,450000
1863,5,1,2022,20477,8.9,3,450000
2481,4,3,1969,18266,18.6,9,450000
2163,3,4,1950,21792,18.0,2,450000
2029,3,3,2021,21452,15.2,8,450000
2538,1,4,2012,44526,10.6,8,450000
3802,5,2,2016,42334,27.4,4,450000
2737,1,1,1953,12889,10.3,1,450000
1806,2,4,2007,25335,13.7,1,450000
4529,1,4,1974,12254,20.4,2,450000
3175,1,4,1996,22074,16.3,9,450000
1782,4,4,1987,12442,10.5,2,450000
1209,6,1,1964,47289,13.1,2,445461
4913,3,1,2012,38327,23.9,6,450000
4248,5,2,1970,17199,8.4,7,450000
1163,1,1,2006,8291,4.4,7,405640
2498,5,4,2002,41928,9.5,9,450000
3945,6,2,1995,1112,25.5,6,450000
4243,6,2,1963,22515,2.8,8,450000
1995,1,2,1966,20581,29.8,6,396223
3804,2,4,1988,49692,16.3,2,450000
4263,1,3,1958,27500,29.5,1,450000
2353,4,4,1955,33026,28.2,5,450000
1791,3,1,1972,17523,13.6,9,450000
4081,2,1,2008,2424,6.0,8,450000
3957,1,4,1995,20552,5.0,4,450000
2136,5,4,1987,11808,7.3,5,450000
4196,2,2,1963,39811,21.3,5,450000
3499,2,4,2021,7989,8.3,6,450000
3652,1,2,2011,24620,10.3,3,450000
1198,2,1,1984,40029,13.5,5,349805
2660,5,2,1968,1887,27.4,2,450000
4597,6,4,1979,32802,5.8,10,450000
1354,2,1,1974,20488,0.3,1,381161
3974,6,3,1989,31013,1.9,1,450000
2207,5,2,1963,17402,27.2,10,450000
3277,1,1,1975,22205,19.5,7,450000
2233,3,2,1971,27049,8.3,2,450000
4010,2,1,1997,13253,5.4,4,450000
702,3,1,2000,19990,8.9,5,312049
3755,5,2,1952,8846,3.5,7,450000
4718,2,3,1991,26027,28.3,2,450000
4996,6,1,1968,40200,23.5,6,450000
1266,4,1,2022,47220,13.9,1,389089
4889,3,1,1977,47163,26.0,7,450000
2827,2,3,1994,4765,7.6,9,450000
3431,3,3,2020,16950,21.5,5,450000
697,2,4,2012,46270,25.7,5,373406
2430,1,2,2022,10741,10.8,4,450000
4082,6,3,1968,23742,22.7,3,450000
1108,3,2,1996,25703,8.9,9,450000
3772,4,4,1963,39709,9.0,5,450000
1647,4,2,1987,38623,3.3,8,450000
4782,5,3,2002,23931,13.3,9,450000
3897,2,2,2010,24580,21.9,5,450000
3011,3,3,1985,16166,28.2,10,450000
2294,5,2,1989,30240,18.2,9,450000
1159,3,3,1979,26991,25.9,2,318845
3311,2,3,1958,39556,24.7,9,450000
1869,4,2,2013,33969,5.3,4,450000
2486,1,4,1982,11561,14.6,6,450000
646,4,1,2001,17901,3.6,6,412160
3719,5,4,1963,41505,20.5,6,450000
3411,6,2,2002,31020,28.5,2,450000
2234,1,4,2008,26917,4.2,7,450000
2343,5,3,1990,2988,22.0,6,450000
988,2,1,2017,49209,19.0,1,240673
3476,1,2,2017,45505,17.5,2,450000
2459,5,2,1957,15256,11.8,7,450000
2885,2,2,1951,23192,10.7,1,450000
3419,4,1,1990,29230,1.5,1,450000
2302,6,3,2004,40930,6.6,1,450000
4561,2,2,1965,46833,0.6,8,450000
3869,3,4,2011,23625,17.5,4,450000
762,2,2,1997,33088,3.3,4,394952
1123,2,2,1979,15114,26.2,2,277557
1516,6,2,1961,42167,15.7,1,434568
4143,3,2,1984,39401,21.0,10,450000
2549,5,3,1960,6755,12.4,9,450000
4223,5,4,2013,11825,16.9,7,450000
3608,2,3,1999,23693,28.3,4,450000
4590,3,4,1970,5117,2.6,6,450000
2556,3,2,2018,25729,7.7,2,450000
3670,6,1,1997,33182,23.4,7,450000
2182,4,3,1969,29890,3.1,2,450000
2755,5,1,2016,30340,2.4,10,450000
1654,6,3,1993,2518,10.9,8,450000
4999,1,2,1982,31949,2.9,8,450000
3691,5,3,2022,23547,17.6,1,450000
2196,6,2,2010,17346,6.9,8,450000
4491,5,3,1958,3600,26.9,2,450000
2148,4,2,2017,47005,23.5,6,450000
1945,1,2,1984,30267,21.0,1,391721
4699,4,4,2014,37322,18.5,5,450000
4423,1,2,1957,27990,25.9,7,450000
753,2,4,1994,17193,6.8,10,450000
3683,6,2,1996,31109,26.2,1,450000
3057,1,1,1989,20233,23.7,2,450000
598,4,2,2003,49021,22.5,7,361342
2700,5,1,1995,17194,16.9,6,450000
3461,1,1,1996,35510,7.5,3,450000
4933,6,2,1964,2306,12.8,10,450000
4277,1,1,1968,4849,23.8,2,450000
3369,3,4,1975,13360,1.1,10,450000
3734,5,3,2001,46536,23.5,4,450000
4291,6,2,1971,30231,7.3,3,450000
1456,6,1,1970,46800,4.4,7,450000
4567,2,2,2000,37963,3.6,8,450000
660,4,4,1987,19689,0.9,2,397971
4993,2,2,1969,30084,15.8,10,450000
1800,6,2,1978,41387,6.6,7,450000
4487,5,1,2000,10280,29.7,8,450000
2027,1,4,1953,3642,17.3,6,450000
1718,1,3,2004,43137,4.2,6,450000
4996,5,3,2020,15296,20.7,10,450000
3604,6,1,1977,16438,26.9,1,450000
3235,1,2,1953,49442,22.4,4,450000
1454,1,1,1971,38525,2.4,1,398837
3946,1,1,1994,3994,26.9,4,450000
1545,4,1,2016,48994,23.8,2,380866
2193,4,2,2015,35039,4.8,5,450000
3936,3,4,1983,2813,1.6,10,450000
1062,2,1,2004,28491,16.8,9,355176
2985,5,2,1950,19845,4.8,10,450000
3854,5,4,2021,42243,25.1,3,450000
725,5,1,1987,38164,10.8,8,450000
1459,3,3,1955,43051,27.4,3,410106
3567,4,4,1974,14318,17.0,6,450000
1315,6,1,1966,18200,5.6,4,450000
3620,6,4,2010,1082,4.3,8,450000
516,3,4,1961,2920,17.3,6,339945
1743,6,4,1955,41585,22.9,8,450000
2705,5,4,1976,12683,23.5,1,450000
3024,2,4,1957,12336,8.3,6,450000
1569,1,4,2014,16596,6.2,1,449016
3944,4,1,2006,3093,0.6,1,450000
3065,4,3,1989,13905,20.4,8,450000
1560,3,2,1963,25351,2.4,7,450000
2827,4,4,1984,31981,12.7,3,450000
3920,5,2,1997,9367,18.1,6,450000
801,6,1,2005,6285,28.1,9,356676
4776,5,4,1998,44664,9.4,7,450000
1106,3,3,1962,38705,7.6,3,421836
3670,5,2,2010,17753,19.7,6,450000
1199,6,4,1998,19485,18.6,4,450000
1639,2,1,1995,13977,10.0,3,431369
690,3,3,2011,20874,27.9,9,311597
2800,2,2,1957,8674,25.4,10,450000
1480,1,2,1992,30038,6.8,2,413253
3475,2,4,1969,30315,7.3,1,450000
1684,1,3,1988,4676,15.4,2,416885
3827,1,3,1998,3426,23.2,7,450000
3894,2,3,2013,25473,1.4,10,450000
627,3,3,2011,3962,20.8,1,176707
2565,6,1,2003,30943,19.5,6,450000
2316,5,3,1958,1859,7.0,7,450000
1069,5,2,1986,45816,20.5,9,450000
2395,6,2,1998,5138,28.2,8,450000
3233,1,1,1990,36192,1.5,6,450000
4363,1,2,1966,26640,9.7,3,450000
4514,3,2,1970,11409,13.2,8,450000
3401,4,3,2000,5017,27.0,7,450000
2186,2,2,2008,11451,28.9,3,419605
3509,1,1,1988,29327,13.4,9,450000
654,5,3,2004,11278,22.5,2,290648
3037,3,4,1990,25944,16.0,3,450000
1909,2,3,1988,44764,16.2,2,450000
4557,3,1,1962,2134,8.4,1,450000
1284,2,3,2013,31131,6.6,4,450000
3675,2,3,1960,38887,8.7,5,450000
4841,6,1,1968,39462,16.7,6,450000
3306,1,3,1960,23520,1.0,5,450000
1037,3,1,1995,22869,27.2,1,203520
2341,3,1,1994,37932,4.8,3,450000
2955,6,4,1950,6039,6.7,1,450000
1024,5,2,1989,22281,15.6,5,392967
3450,5,2,1968,48399,21.3,5,450000
4631,1,3,2021,11442,3.0,6,450000
4615,1,3,2021,9252,9.6,8,450000
2868,4,4,2010,28586,29.1,10,450000
4347,6,4,1961,18568,7.9,1,450000
4995,5,4,2010,21810,9.5,4,450000
3201,2,1,1982,2551,25.1,10,450000
1471,3,4,1994,13625,1.6,1,450000
1666,1,4,2018,35397,14.0,9,450000
3274,3,3,1957,27249,11.5,7,450000
2482,3,4,1974,2361,9.6,7,450000
1353,4,1,1995,27149,8.6,5,450000
4646,5,1,1979,5370,2.8,7,450000
4236,1,3,1996,6283,9.5,2,450000
4269,3,4,1998,8610,1.4,4,450000
1074,1,4,1996,44326,23.5,7,434146
3761,2,1,1967,15924,12.0,3,450000
1648,4,4,2015,48607,13.4,2,450000
2215,2,4,2017,45717,26.8,10,450000
4354,1,4,1982,11626,19.8,2,450000
2991,1,2,1985,35761,0.3,1,450000
3160,5,3,1968,1869,28.3,5,450000
3624,3,2,1977,32552,7.2,6,450000
3551,3,3,1989,2014,3.3,6,450000
504,2,1,1964,11103,23.1,9,261283
1376,4,4,1990,17986,15.1,4,450000
1491,6,3,1988,45781,13.1,1,450000
4642,3,2,1951,31471,7.6,6,450000
4864,5,4,2012,34458,16.5,5,450000
4965,2,1,1978,26069,8.3,10,450000
1135,2,3,2023,17873,27.1,6,342972
2193,6,3,2015,24248,6.5,3,450000
2182,5,3,2000,24624,26.5,2,450000
619,4,4,1959,44516,16.8,6,435443
1330,5,2,1963,30061,24.9,1,323717
4175,4,2,2000,25170,21.4,7,450000
1869,5,3,2022,9024,20.9,7,450000
1240,5,1,1988,17678,9.8,10,450000
616,1,1,1977,39256,7.1,7,333141
3338,2,2,1952,21411,6.4,10,450000
1650,5,1,2019,44803,25.7,1,412485
2431,6,2,1976,20296,24.6,4,450000
1512,5,3,1951,27293,13.3,7,450000
2164,3,2,1987,28172,4.1,9,450000
1581,2,2,1952,22128,11.5,5,432134
1012,3,3,1965,19257,18.6,2,331542
3349,2,1,1989,13855,13.7,7,450000
1059,3,2,1951,20642,23.4,10,371927
4172,5,2,1990,36585,29.9,1,450000
3843,5,3,1961,21025,5.8,7,450000
4570,1,1,1984,5458,13.8,6,450000
1970,6,2,2014,6307,13.0,7,450000
1080,3,3,2004,42701,9.2,10,450000
2794,4,2,1994,19425,6.0,3,450000
3647,1,4,2011,44427,2.1,3,450000
4749,3,3,1998,29273,26.6,7,450000
2179,3,1,1974,39506,12.7,2,450000
4006,1,1,1972,6668,15.0,1,450000
3244,5,1,1973,26934,27.5,9,450000
3856,3,1,1987,48195,23.3,9,450000
4545,5,2,1977,8697,4.0,7,450000
1743,1,2,1970,25417,17.0,7,437002
3618,5,1,2003,17446,13.3,3,450000
2641,2,1,1967,41597,23.9,10,450000
3559,4,1,1985,11751,21.8,2,450000
3459,3,2,1994,47218,20.7,7,450000
2765,6,1,2022,8352,10.3,9,450000
2979,4,1,2002,14516,24.2,1,450000
2135,5,4,1979,24299,1.7,4,450000
2257,3,4,2009,32957,4.9,6,450000
4952,5,1,1981,29927,10.1,7,450000
2570,2,3,2016,42094,2.4,10,450000
3349,1,1,2016,37412,7.1,7,450000
3751,3,4,1977,30493,24.9,10,450000
4230,2,3,1993,27711,28.5,2,450000
2989,2,3,1990,9003,9.2,4,450000
2131,3,1,2012,32707,8.0,5,450000
3316,5,4,1972,4278,8.5,1,450000
1515,6,4,1997,8296,8.4,1,450000
1848,2,3,1981,26398,1.2,10,450000
3587,4,1,2006,36842,27.8,3,450000
3339,2,2,1982,14261,6.5,10,450000
835,6,2,1973,12173,12.7,3,393244
1395,5,4,1988,31449,0.4,8,450000
4046,5,2,1983,42080,25.8,9,450000
1351,4,4,2005,2637,22.0,1,364727
2187,2,4,1977,32781,28.4,2,450000
2431,5,4,1986,14652,23.5,10,450000
4246,6,2,1956,6103,9.5,2,450000
2927,3,4,2017,26500,7.5,4,450000
2068,1,3,1986,35800,21.0,2,427003
4500,1,1,2005,36529,11.0,7,450000
3238,1,1,2014,48963,17.0,9,450000
3998,2,4,2014,19452,0.3,7,450000
4413,4,1,1996,32174,2.0,6,450000
1566,5,2,1969,36436,16.1,10,450000
4880,3,2,1968,48406,17.0,1,450000
2944,6,1,1978,16954,22.6,10,450000
4607,3,2,2023,18186,4.0,9,450000
3873,6,1,2009,13356,15.4,5,450000
4469,2,1,1967,33963,5.9,5,450000
3046,1,1,1984,3187,2.9,6,450000
1253,2,4,1992,12707,12.4,9,450000
2582,4,1,1960,36098,5.0,8,450000
3274,4,4,1998,27935,6.7,8,450000
3396,6,1,1987,22225,9.6,8,450000
4685,5,1,2013,4606,7.9,1,450000
1275,5,1,2018,33828,2.7,1,422425
2125,6,2,1957,27489,2.8,8,450000
3569,4,4,1983,15387,5.9,5,450000
917,4,4,1997,4927,1.6,9,450000
614,4,1,2005,7296,18.8,2,195726
1116,2,1,2014,31444,8.7,9,404965
4474,4,2,1980,47390,8.5,8,450000
3767,3,2,1953,47893,10.0,9,450000
1325,1,2,1999,3591,19.9,4,271539
2016,4,4,2018,45895,26.1,1,450000
3646,6,4,1979,49516,22.8,1,450000
912,1,4,2008,27147,21.9,5,359623
1228,2,1,2016,39889,14.6,2,324353
3848,6,4,1994,2200,20.8,8,450000
3308,1,3,1953,16721,16.6,10,450000
1175,6,3,1975,20238,6.6,5,450000
3965,2,2,1976,12087,6.3,5,450000
3004,3,4,1995,31816,9.0,2,450000
3467,2,3,2013,24408,27.3,7,450000
3286,2,2,2000,40740,16.5,8,450000
1622,6,4,1999,1136,22.0,10,450000
4579,5,1,1955,18413,10.5,1,450000
2071,4,3,2008,49114,12.3,2,450000
2643,4,1,1964,19978,3.9,10,450000
2187,3,4,1979,1661,5.2,4,450000
4632,3,3,1991,36240,24.8,5,450000
4351,4,4,1986,28253,17.6,2,450000
3940,5,1,1991,27884,10.2,1,450000
4266,4,3,1984,33854,24.1,9,450000
2826,5,1,1955,11704,7.5,1,450000
3414,3,4,2017,39987,29.3,4,450000
4452,1,4,1967,25527,10.4,2,450000
1095,6,1,2022,17322,10.2,4,410293
1228,3,3,1978,48517,9.4,8,450000
1865,3,1,2008,7968,3.8,8,450000
4992,2,4,1996,28518,3.4,9,450000
1198,2,1,1966,47364,19.5,5,354559
895,2,4,1971,28886,26.3,7,345288
4671,6,1,2017,2700,23.7,3,450000
4860,2,3,2018,29246,4.3,10,450000
3002,5,3,1986,36468,16.4,4,450000
2319,4,1,1998,24199,3.3,10,450000
1217,1,1,1962,45589,1.5,9,450000
3282,3,3,1983,33115,19.7,10,450000
4077,5,4,2002,6520,16.1,10,450000
643,1,3,2000,45278,2.6,1,341308
3640,5,4,1952,37455,1.1,2,450000
4991,5,1,1991,21929,29.7,5,450000
3438,3,1,1981,42605,1.0,3,450000
4136,4,4,2000,15955,13.4,2,450000
3722,2,1,1995,45049,15.2,1,450000
1667,6,4,1970,14917,3.6,10,450000
3116,4,2,1993,5757,5.2,3,450000
1562,6,3,1960,14045,10.6,1,447916
2656,3,2,2017,42680,22.9,1,450000
3482,3,4,1950,5733,15.3,1,450000
3794,3,3,2012,31954,19.2,8,450000
1656,1,4,1973,32135,29.6,3,414016
1232,6,3,1962,8081,23.1,1,397919
4830,4,3,1960,42458,13.1,7,450000
1453,4,3,2000,24501,13.4,10,450000
3039,5,3,1966,22113,18.6,3,450000
3824,5,4,1973,35441,20.0,8,450000
3801,5,3,1968,48086,15.1,4,450000
2042,3,3,1986,25690,19.4,4,450000
1691,4,2,1957,44939,0.8,5,450000
3493,6,1,1977,30345,12.9,6,450000
3181,3,1,1954,47313,8.4,7,450000
1717,1,2,1966,45571,4.0,4,450000
2040,5,2,1985,27829,3.1,8,450000
3736,3,4,1968,36062,18.1,6,450000
2886,3,4,2013,4630,15.8,1,450000
4219,1,4,1960,48861,7.7,1,450000
1888,2,2,2003,32870,14.2,9,450000
2356,4,2,1994,48221,14.8,10,450000
1865,6,3,1996,45942,5.9,6,450000
999,2,4,1961,4453,19.6,10,444715
2180,5,4,1970,38275,23.4,8,450000
1010,3,4,1960,44370,23.8,7,420415
4812,1,1,1954,39396,18.1,6,450000
1824,1,3,2005,9328,15.4,4,450000
1655,4,4,1969,16534,1.9,7,450000
2327,2,4,1990,20744,8.7,9,450000
3641,4,4,1995,20389,2.9,10,450000
3986,3,1,1961,37320,28.9,10,450000
2310,4,1,2019,36010,4.1,7,450000
3423,6,2,1966,15665,4.6,1,450000
2714,1,3,1968,38865,26.7,10,450000
4686,1,2,1975,9640,28.3,9,450000
1213,5,3,1997,35716,23.0,4,418343
4102,5,1,2001,26521,0.3,3,450000
4634,3,4,2019,31049,0.1,4,450000
4022,6,2,2004,6618,11.4,4,450000
4768,2,4,1982,38004,4.4,10,450000
1743,4,2,2011,2920,0.6,2,450000
4209,3,1,1972,44937,14.0,1,450000
1581,5,1,1964,5188,28.3,10,429394
955,4,1,1976,13207,9.8,1,299227
1394,5,2,2013,1238,19.9,8,450000
1884,4,3,2000,33972,19.6,2,444732
2458,2,2,2002,11799,7.6,10,450000
3572,3,3,2000,6552,19.5,5,450000
2496,4,2,1996,29916,6.4,4,450000
4785,6,2,1953,5927,3.7,8,450000
1004,1,1,1956,28964,21.1,2,269667
1714,6,4,1984,12164,3.5,10,450000
2031,6,4,1997,38158,29.9,9,450000
3940,1,3,2022,20071,5.6,7,450000
1323,6,4,2021,49409,17.9,7,450000
1428,4,2,1994,7160,12.4,1,380107
633,4,2,2021,16810,3.9,2,331902
2605,4,1,1968,6126,0.9,4,450000
4127,1,1,2012,31009,18.7,4,450000
2352,6,4,1987,34584,24.2,3,450000
4675,1,3,2016,47182,25.3,7,450000
3433,4,4,2008,26396,14.5,8,450000
3784,6,4,2018,1192,23.3,2,450000
4798,6,4,1962,37413,20.2,4,450000
3311,5,4,1996,13816,21.8,3,450000
1750,5,2,2010,40082,14.8,2,423131
4012,2,3,1980,33130,19.0,6,450000
1756,3,2,1971,41142,24.2,4,424461
3876,5,3,1992,37468,12.0,6,450000
3986,1,1,2016,31698,24.2,2,450000
4084,5,4,2003,11655,17.8,4,450000
1896,2,2,1959,48897,5.1,6,450000
4137,6,3,1991,31075,0.8,5,450000
3830,2,1,2013,10359,10.9,3,450000
3203,6,1,1970,37661,16.4,8,450000
970,6,4,2015,40579,25.2,7,450000
1853,3,3,1990,43056,3.9,3,450000
3283,5,2,1973,34272,24.0,6,450000
3331,1,4,1984,43581,25.9,4,450000
857,1,2,2005,15671,4.6,5,374662
3519,4,1,1979,28048,25.6,5,450000
1167,6,2,2006,11738,29.7,7,406884
4968,1,2,1996,26963,21.8,5,450000
1645,3,4,1984,44954,23.6,3,450000
4685,6,2,1968,7773,29.8,10,450000
4219,3,4,1957,37584,18.2,5,450000
3245,1,1,1975,30894,9.3,7,450000
1039,1,4,2020,1717,25.1,5,306925
3279,4,4,1979,12676,18.5,5,450000
4636,1,3,1956,5434,17.5,9,450000
4275,6,2,2016,38825,7.7,3,450000
3008,6,1,2014,30100,22.7,6,450000
3279,6,4,1985,5994,2.5,1,450000
1424,4,1,1974,5234,27.7,10,431767
3456,4,3,1986,4764,9.8,5,450000
2081,1,2,1950,44949,3.9,8,450000
3824,2,4,1964,38405,13.3,5,450000
4985,2,2,1986,35872,1.4,9,450000
755,4,3,1962,43215,20.6,6,403360
2338,1,3,1957,24185,27.1,8,450000
2444,2,1,1954,44442,25.1,10,450000
509,1,4,2009,42153,3.9,8,360004
3371,1,1,2022,12999,3.9,3,450000
1297,1,3,1950,37487,24.4,7,423997
1515,5,2,1985,3581,27.7,7,415277
2324,6,1,1984,3763,13.9,10,450000
4969,1,1,2015,28374,15.0,6,450000
3636,5,2,2012,39759,9.6,7,450000
2693,4,1,1972,11531,26.8,2,429333
723,2,2,1958,26307,19.4,9,299877
4658,6,4,1983,31835,8.7,10,450000
4425,2,2,1995,12064,9.0,10,450000
4500,6,4,1953,12312,26.7,1,450000
2133,2,2,1979,38548,0.5,1,450000
2652,6,3,2021,37945,9.7,3,450000
1010,2,3,1952,48937,16.7,3,344692
884,2,4,1963,7476,4.5,1,335899
904,2,4,2009,25565,2.9,7,438949
2500,2,3,1994,3382,24.5,4,450000
3256,4,4,1983,23463,26.8,10,450000
2168,1,2,1994,46276,24.7,2,436505
1960,3,2,2010,34402,27.0,10,450000
4136,5,3,1965,27345,16.6,5,450000
3224,3,1,2015,45764,24.4,6,450000
4678,3,2,1989,27946,11.6,9,450000
2548,6,4,1966,15162,20.0,4,450000
4646,1,1,1983,47773,29.7,2,450000
1216,6,1,1965,9397,6.8,5,418983
2323,1,2,2009,23335,11.8,3,450000
2581,1,2,2015,46095,14.5,2,450000
3919,2,1,2015,15394,4.2,1,450000
2074,4,1,1962,28197,2.5,10,450000
749,2,3,2005,23010,24.9,2,220107
1173,4,4,1980,25123,29.3,6,411710
2665,6,3,1983,23387,12.2,8,450000
1270,4,2,1988,3890,2.7,3,408550
4462,6,3,2016,28769,2.1,9,450000
4863,3,3,1957,44626,26.8,9,450000
2484,3,3,2004,9026,14.0,2,450000
1577,4,3,1976,4306,9.7,8,450000
735,4,4,2002,34665,14.3,10,450000
888,6,4,1988,10277,9.6,5,450000
3537,2,1,2014,43239,14.7,4,450000
2348,6,2,1966,48664,25.8,10,450000
3314,2,3,1979,49008,17.8,5,450000
3874,3,1,2002,15683,20.9,4,450000
3778,1,1,1962,1670,11.0,8,450000
1752,4,1,1970,24675,22.2,4,429817
4481,2,4,1968,18889,20.0,10,450000
2622,6,3,2002,45535,3.7,6,450000
2650,3,3,1968,14006,17.2,2,450000
1829,2,2,2006,49536,7.8,5,450000
1858,6,3,1974,27531,24.1,6,450000
2982,4,3,1980,22639,12.8,5,450000
2517,4,1,2004,17633,29.8,2,450000
1831,5,2,1972,35660,2.9,7,450000
4844,1,3,1981,4439,23.4,4,450000
4761,5,4,2011,33172,20.2,8,450000
1858,3,3,2023,36622,23.0,7,450000
3677,2,1,1959,12577,9.3,7,450000
2628,3,4,2021,12763,14.8,9,450000
2680,6,1,2003,21176,23.9,1,450000
637,4,3,2001,45386,7.1,10,450000
3972,5,4,1969,25255,6.9,6,450000
3332,5,2,1981,42003,16.6,6,450000
4079,5,2,1963,20996,15.8,6,450000
3531,3,4,1999,36386,8.5,6,450000
4664,4,4,1977,22062,9.0,10,450000
3093,2,1,2002,36931,8.4,7,450000
4800,6,4,1973,36710,23.2,10,450000
4318,2,1,1971,35693,19.6,6,450000
4638,3,3,1979,36740,25.0,1,450000
4323,6,1,2012,12705,29.3,3,450000
4542,5,4,1953,44408,14.3,2,450000
2406,1,4,2008,29047,2.1,6,450000
1260,3,3,1957,11966,1.5,8,450000
3945,3,4,1961,18374,8.9,3,450000
1399,4,4,1980,12138,28.0,10,450000
4955,2,2,1983,16935,15.7,8,450000
